Name,Rarity,Type,SubType,Attunement,Notes
Abracadabrus,Very Rare,Wondrous Item,No SubType,Not Required,"Utility, Container"
Absorbing Tattoo,Very Rare,Wondrous Item,No SubType,Required,
Acheron Blade,Rare,Weapon,No SubType,Required,"Bonus: Temporary Hit Points, Bonus: Magic"
Adamantine Armor,Uncommon,Armor,No SubType,Not Required,"Immunity: Critical Hits, Combat, Warding"
"Akmon, Hammer of Purphoros",Artifact,Weapon,Warhammer,Required,"Damage: Fire, Resistance: Fire, Immunity: Exhaustion, Bonus: Magic, Proficiency: Smith's Tools, Versatile"
Alchemical Compendium,Rare,Wondrous Item,No SubType,Required,wizard
Alchemy Jug,Uncommon,Wondrous Item,No SubType,Not Required,Utility
Alchemy Jug (Blue),Uncommon,Wondrous Item,No SubType,Not Required,Utility
Alchemy Jug (Orange),Uncommon,Wondrous Item,No SubType,Not Required,Utility
All-Purpose Tool,Varies,Wondrous Item,No SubType,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, artificer"
Amethyst Lodestone,Very Rare,Wondrous Item,No SubType,Required,"Advantage: Strength Saving Throws, Set: Innate Speed (Flying)"
"Ammunition, +1",Uncommon,Weapon,No SubType,Not Required,"Bonus: Magic, Damage"
"Ammunition, +2",Rare,Weapon,No SubType,Not Required,"Bonus: Magic, Damage"
"Ammunition, +3",Very Rare,Weapon,No SubType,Not Required,"Bonus: Magic, Damage"
Amulet of Health,Rare,Wondrous Item,No SubType,Required,"Set: Constitution Score, Buff, Jewelry"
Amulet of Proof against Detection and Location,Uncommon,Wondrous Item,No SubType,Required,"Deception, Jewelry"
Amulet of Protection from Turning,Rare,Wondrous Item,No SubType,Required,"Advantage: Saving Throws, Buff, Warding"
Amulet of the Black Skull,Very Rare,Wondrous Item,No SubType,Required,"Teleportation, Bane"
Amulet of the Devout,Varies,Wondrous Item,No SubType,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, cleric or paladin"
Amulet of the Drunkard,Uncommon,Wondrous Item,No SubType,Not Required,Healing
Amulet of the Planes,Very Rare,Wondrous Item,No SubType,Required,"Teleportation, Exploration, Jewelry"
Animated Shield,Very Rare,Armor,Shield,Required,"Utility, Warding"
Apparatus of Kwalish,Legendary,Wondrous Item,No SubType,Not Required,"Utility, Exploration, Combat"
Apparatus of the Crab,Legendary,Wondrous Item,No SubType,Not Required,"Utility, Exploration, Combat"
Arcane Cannon,Very Rare,Wondrous Item,No SubType,Not Required,
Arcane Grimoire,Varies,Wondrous Item,No SubType,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, wizard"
Arcane Propulsion Arm,Very Rare,Wondrous Item,No SubType,Required,creature missing a hand or an arm
Armblade,Common,Weapon,Club,Required,"Warforged, Damage, Combat, Light"
Armor of Gleaming,Common,Armor,Breastplate,Not Required,Utility
Armor of Invulnerability,Legendary,Armor,Plate,Required,"Resistance: Bludgeoning, Piercing, and Slashing from Nonmagical Attacks, Immunity: Bludgeoning, Piercing, and Slashing from Nonmagical Weapons, Combat, Warding, Str 15 Required, Stealth Disadvantage"
